Electric_MW,Temperature,datetime
88.77136044,7.0,2021-01-01 00:00:00
83.15846002,7.1,2021-01-01 01:00:00
85.15835087,7.1,2021-01-01 02:00:00
90.41915587,7.1,2021-01-01 03:00:00
107.9531706,7.0,2021-01-01 04:00:00
97.56864029,6.9,2021-01-01 05:00:00
137.5828071,7.1,2021-01-01 06:00:00
146.8843186,7.2,2021-01-01 07:00:00
146.0331676,7.5,2021-01-01 08:00:00
133.3490724,7.9,2021-01-01 09:00:00
154.9444657,8.4,2021-01-01 10:00:00
155.2855455,8.8,2021-01-01 11:00:00
143.8792183,9.1,2021-01-01 12:00:00
103.0414074,10.6,2021-01-01 13:00:00
106.0001251,10.8,2021-01-01 14:00:00
133.0955154,9.8,2021-01-01 15:00:00
140.846255,9.2,2021-01-01 16:00:00
143.6799627,8.9,2021-01-01 17:00:00
175.2609012,8.5,2021-01-01 18:00:00
192.059637,8.0,2021-01-01 19:00:00
198.7175299,8.0,2021-01-01 20:00:00
191.0243351,8.2,2021-01-01 21:00:00
147.8171724,8.4,2021-01-01 22:00:00
114.416989,8.1,2021-01-01 23:00:00
120.8711925,8.2,2021-01-02 00:00:00
120.1387578,8.3,2021-01-02 01:00:00
119.3148596,8.3,2021-01-02 02:00:00
113.9857231,8.2,2021-01-02 03:00:00
112.6783002,8.2,2021-01-02 04:00:00
118.818516,8.1,2021-01-02 05:00:00
132.6629207,7.9,2021-01-02 06:00:00
151.1857881,7.7,2021-01-02 07:00:00
164.7295683,7.8,2021-01-02 08:00:00
147.5315742,8.0,2021-01-02 09:00:00
132.2875734,8.2,2021-01-02 10:00:00
138.6778079,8.4,2021-01-02 11:00:00
138.4552921,8.6,2021-01-02 12:00:00
124.0429228,8.8,2021-01-02 13:00:00
134.0691024,8.9,2021-01-02 14:00:00
128.8350623,8.9,2021-01-02 15:00:00
138.6000972,8.9,2021-01-02 16:00:00
152.4511105,8.9,2021-01-02 17:00:00
185.2768624,9.0,2021-01-02 18:00:00
178.5892256,9.0,2021-01-02 19:00:00
191.6090545,9.1,2021-01-02 20:00:00
172.0556805,9.2,2021-01-02 21:00:00
174.2445121,9.3,2021-01-02 22:00:00
163.9225771,9.4,2021-01-02 23:00:00
129.0311025,9.5,2021-01-03 00:00:00
107.7400922,9.7,2021-01-03 01:00:00
91.40649202,9.2,2021-01-03 02:00:00
78.07481726,7.2,2021-01-03 03:00:00
75.86184828,5.9,2021-01-03 04:00:00
79.65029671,5.2,2021-01-03 05:00:00
125.195537,4.6,2021-01-03 06:00:00
140.8721676,4.5,2021-01-03 07:00:00
138.4759651,4.8,2021-01-03 08:00:00
145.249897,5.4,2021-01-03 09:00:00
107.9423756,6.3,2021-01-03 10:00:00
158.7832549,8.1,2021-01-03 11:00:00
85.5964698,9.0,2021-01-03 12:00:00
69.45831504,9.7,2021-01-03 13:00:00
69.52273736,9.9,2021-01-03 14:00:00
66.64205824,10.0,2021-01-03 15:00:00
69.69613137,9.6,2021-01-03 16:00:00
95.55560013,8.7,2021-01-03 17:00:00
107.5776724,7.9,2021-01-03 18:00:00
156.5893203,7.7,2021-01-03 19:00:00
156.1031996,7.2,2021-01-03 20:00:00
148.0762867,6.9,2021-01-03 21:00:00
119.281828,7.3,2021-01-03 22:00:00
92.72980841,8.4,2021-01-03 23:00:00
94.02574851,8.5,2021-01-04 00:00:00
91.4959539,8.5,2021-01-04 01:00:00
85.42869309,8.3,2021-01-04 02:00:00
105.9496515,8.0,2021-01-04 03:00:00
95.48504976,7.8,2021-01-04 04:00:00
98.14103579,7.8,2021-01-04 05:00:00
120.6495542,7.9,2021-01-04 06:00:00
130.6810398,7.9,2021-01-04 07:00:00
126.8556054,8.5,2021-01-04 08:00:00
139.0295177,7.7,2021-01-04 09:00:00
120.7894465,8.0,2021-01-04 10:00:00
171.1587955,7.9,2021-01-04 11:00:00
91.10082379,7.7,2021-01-04 12:00:00
110.8882116,8.1,2021-01-04 13:00:00
87.14853785,8.4,2021-01-04 14:00:00
96.28288422,7.8,2021-01-04 15:00:00
96.77420147,7.3,2021-01-04 16:00:00
108.5826079,6.5,2021-01-04 17:00:00
